29, 12, 2, 143, 165, 76
36, 12, 2, 98, 140, 76
28, 13, 2, 75, 133, 72
29, 13, 2, 135, 167, 121
27, 6, 3, 141, 188, 135
28, 6, 3, 80, 122, 79
27, 7, 3, 87, 130, 82
28, 7, 3, 92, 122, 90
29, 7, 3, 77, 112, 65
30, 7, 3, 66, 101, 58
31, 7, 3, 50, 79, 37
32, 7, 3, 69, 106, 60
33, 7, 3, 130, 169, 95
34, 7, 3, 146, 178, 99
36, 7, 3, 16, 42, 10
37, 7, 3, 97, 133, 67
26, 8, 3, 57, 107, 58
27, 8, 3, 63, 102, 54
28, 8, 3, 106, 147, 98
29, 8, 3, 84, 120, 59
30, 8, 3, 96, 150, 96
37, 10, 5, 134, 171, 102
41, 9, 5, 183, 192, 141
40, 9, 5, 184, 195, 160
37, 9, 5, 83, 134, 74
35, 8, 3, 93, 132, 71
36, 9, 5, 71, 119, 74
35, 9, 5, 49, 90, 59
38, 8, 3, 180, 195, 140
23, 9, 3, 62, 107, 64
24, 9, 3, 41, 86, 43
25, 9, 3, 87, 140, 87
26, 9, 3, 66, 112, 70
27, 9, 3, 89, 141, 82
28, 9, 3, 49, 93, 51
40, 8, 5, 187, 195, 159
39, 8, 5, 184, 195, 148
38, 8, 5, 163, 191, 113
38, 9, 3, 181, 193, 137
26, 10, 3, 82, 135, 80
27, 10, 3, 56, 98, 51
28, 10, 3, 96, 131, 89
29, 10, 3, 101, 135, 72
30, 10, 3, 104, 157, 100
37, 8, 5, 129, 167, 98
37, 11, 4, 112, 152, 85
36, 11, 4, 103, 150, 86
39, 10, 4, 179, 190, 133
35, 10, 3, 123, 160, 89
38, 10, 4, 178, 190, 135
36, 10, 4, 86, 141, 85
38, 10, 3, 173, 187, 133
27, 11, 3, 60, 107, 55
28, 11, 3, 105, 128, 100
29, 11, 3, 108, 141, 72
30, 11, 3, 103, 135, 84
31, 11, 3, 89, 125, 63
32, 11, 3, 121, 155, 88
33, 11, 3, 128, 164, 95
34, 11, 3, 112, 148, 69
36, 11, 3, 0, 22, 0
37, 11, 3, 107, 143, 81
27, 12, 3, 145, 184, 134
28, 12, 3, 37, 68, 36
36, 7, 4, 89, 135, 73
37, 7, 4, 116, 155, 90
31, 8, 4, 86, 142, 83
32, 8, 4, 99, 155, 96
33, 8, 4, 98, 148, 95
34, 8, 4, 89, 139, 73
35, 8, 4, 91, 140, 82
36, 8, 4, 97, 151, 98
35, 10, 4, 90, 139, 79
38, 8, 4, 175, 192, 131
39, 8, 4, 181, 192, 157
29, 9, 4, 69, 113, 69
30, 9, 4, 88, 134, 83
31, 9, 4, 68, 113, 79
32, 9, 4, 67, 115, 74
33, 9, 4, 112, 151, 107
34, 9, 4, 82, 129, 87
34, 10, 4, 87, 139, 81
33, 10, 4, 97, 153, 95
32, 10, 4, 93, 151, 90
39, 9, 4, 180, 192, 142
31, 10, 4, 36, 86, 25
28, 5, 1, 191, 191, 191
28, 6, 1, 191, 191, 191
36, 7, 1, 191, 191, 191
